id,Name in English,Countries,Country codes,Degree of endangerment,Number of speakers
45,Angika,India;Nepal,IND;NPL,Vulnerable,7408920
46,Q'eqchi' (Guatemala),Guatemala,GTM,Vulnerable,7161010
47,Picard,Belgium;France,BEL;FRA,Severely endangered,7000000
48,Kokborok,Bangladesh;India,BGD;IND,Vulnerable,6950000
49,Basque,Spain;France,ESP;FRA,Vulnerable,6600000
50,Kabard-Cherkes,Russian Federation;Turkey,RUS;TUR,Vulnerable,6500000
51,Mandeali,India,IND,Definitely endangered,6119300
52,Friulian,Italy,ITA,Definitely endangered,6000000
53,Quechua of Ancash and Huánuco,Peru,PER,Definitely endangered,6000000
54,Walloon,Belgium;France;Luxembourg,BEL;FRA;LUX,Definitely endangered,6000000
55,Mising,India,IND,Definitely endangered,5500000
56,Ossete,Georgia;Russian Federation,GEO;RUS,Vulnerable,5500000
57,Mizo,India,IND,Vulnerable,5290000
58,Dargwa,Russian Federation,RUS,Vulnerable,5035230
59,Aromanian,Albania;Bulgaria;Greece;The former Yugoslav Republic of Macedonia;Serbia,ALB;BGR;GRC;MKD;SRB,Definitely endangered,5000000
60,Brahui,Iran (Islamic Republic of);Pakistan;Afghanistan,IRN;PAK;AFG,Vulnerable,5000000
61,Languedocian,France,FRA,Severely endangered,5000000
62,Lezgian,Azerbaijan;Russian Federation,AZE;RUS,Vulnerable,5000000
63,Mahasui,India,IND,Definitely endangered,4960240
64,Magar,Nepal,NPL,Definitely endangered,4893830
65,Udmurt,Russian Federation,RUS,Definitely endangered,4638370
66,Huasteca Náhuatl,Mexico,MEX,Vulnerable,4631830
67,Kumyk,Russian Federation,RUS,Vulnerable,4581210
68,Yakut,Russian Federation,RUS,Vulnerable,4562880
69,Karbi,India,IND,Vulnerable,4200000
70,Eastern Mari,Russian Federation,RUS,Definitely endangered,4142110
71,Ingush,Russian Federation,RUS,Vulnerable,4053430
72,Erzya,Russian Federation,RUS,Definitely endangered,4000000
73,Ho,India,IND,Vulnerable,4000000
74,Judezmo (Israel),Israel,ISR,Severely endangered,4000000
75,Lalo,China,CHN,Vulnerable,4000000
76,Limousin,France,FRA,Severely endangered,4000000
77,Logudorese,Italy,ITA,Definitely endangered,4000000
78,Mapuche (Chile),Chile,CHL,Definitely endangered,4000000
79,Central Náhuatl,Mexico,MEX,Vulnerable,3955810
80,Moselle Franconian,Germany;Belgium;France;Luxembourg,DEU;BEL;FRA;LUX,Vulnerable,3900000
81,Bantawa,Nepal,NPL,Vulnerable,3710560
82,Santa,China,CHN,Vulnerable,3600000
83,Mingrelian,Georgia,GEO,Definitely endangered,3500000
84,West Frisian,Netherlands,NLD,Vulnerable,3500000
85,Gurung,Nepal,NPL,Definitely endangered,3389250
86,Guajiro,Colombia;Venezuela (Bolivarian Republic of),COL;VEN,Vulnerable,3185000
87,Karachay-Balkar,Russian Federation,RUS,Vulnerable,3027480
88,Adyge,Iraq;Israel;Jordan;The former Yugoslav Republic of Macedonia;Russian Federation;Syrian Arab Republic;Turkey,IRQ;ISR;JOR;MKD;RUS;SYR;TUR,Vulnerable,3000000
89,Buryat (Trans-Baikal),Russian Federation,RUS,Definitely endangered,3000000
90,Kurru,India,IND,Definitely endangered,3000000
91,Kuvi,India,IND,Definitely endangered,3000000
92,Limbu,India;Nepal,IND;NPL,Definitely endangered,3000000
93,Moroccan Judeo-Arabic (Israel),Israel,ISR,Definitely endangered,3000000
94,Plautdietsch,Ukraine,UKR,Definitely endangered,3000000
95,Pontic Greek,Armenia;Georgia;Greece;Russian Federation;Turkey;Ukraine,ARM;GEO;GRC;RUS;TUR;UKR,Definitely endangered,3000000
96,Quichua (Cotopaxi;Tungurahua and Chimborazo),Ecuador,ECU,Definitely endangered,3000000
97,Waxiang,China,CHN,Vulnerable,3000000
98,Oyrat,China;Kyrgyzstan;Mongolia,CHN;KGZ;MNG,Definitely endangered,2800000
99,Garhwali,India,IND,Vulnerable,2795000
100,Bade,Nigeria,NGA,Vulnerable,2500000
101,Breton,France,FRA,Severely endangered,2500000
102,Gascon,Spain;France,ESP;FRA,Definitely endangered,2500000
103,Phula (China),China,CHN,Vulnerable,2500000
104,Sora,India,IND,Vulnerable,2500000
105,Konyak,India,IND,Vulnerable,2480000
106,Ao,India,IND,Vulnerable,2430000
107,Tuvan,China;Mongolia;Russian Federation,CHN;MNG;RUS,Vulnerable,2427540
108,Nafusi,Libyan Arab Jamahiriya,LBY,Severely endangered,2400000
109,Suret,Armenia;Iran (Islamic Republic of);Iraq;Syrian Arab Republic;Turkey,ARM;IRN;IRQ;SYR;TUR,Definitely endangered,2400000
110,Malto,India,IND,Definitely endangered,2249260
111,Khowar,Pakistan,PAK,Vulnerable,2228000
112,Maiya,Pakistan,PAK,Vulnerable,2200000
113,Komi,Russian Federation,RUS,Definitely endangered,2173160
114,Alpine Provençal,France;Italy,FRA;ITA,Definitely endangered,2000000
115,Gallo,France,FRA,Severely endangered,2000000
116,Gera,Nigeria,NGA,Vulnerable,2000000
117,Irula,India,IND,Vulnerable,2000000
118,Kharia,India,IND,Vulnerable,2000000
119,Khorasani Turk,Iran (Islamic Republic of),IRN,Vulnerable,2000000
120,Korku,India,IND,Vulnerable,2000000
121,Moksha,Russian Federation,RUS,Definitely endangered,2000000
122,Western Armenian (Middle East),Iraq;Lebanon;Syrian Arab Republic,IRQ;LBN;SYR,Definitely endangered,2000000
123,Western Cham,Cambodia,KHM,Vulnerable,2000000
124,Tshangla,Bhutan;China;India,BTN;CHN;IND,Vulnerable,1930000
125,Thado,India,IND,Vulnerable,1910000
126,Gagauz (Bessarabia),Republic of Moldova;Ukraine,MDA;UKR,Definitely endangered,1800000
127,Kului,India,IND,Definitely endangered,1707700
128,Adi,China;India,CHN;IND,Vulnerable,1700000
129,Lhota,India,IND,Vulnerable,1700000
130,Nyishi,India,IND,Vulnerable,1700000
131,Ngäbere (Panama),Panama,PAN,Vulnerable,1691300
132,Kodagu,India,IND,Definitely endangered,1661870
133,Corsican,France;Italy,FRA;ITA,Definitely endangered,1600000
134,Dzongkha,Bhutan,BTN,Vulnerable,1600000
135,Kalmyk,Russian Federation,RUS,Definitely endangered,1536020
136,Lak,Russian Federation,RUS,Vulnerable,1533730
137,Asturian-Leonese,Spain;Portugal,ESP;PRT,Definitely endangered,1500000
138,Latgalian,Latvia;Russian Federation,LVA;RUS,Vulnerable,1500000
139,Provençal,France,FRA,Severely endangered,1500000
140,Rabha,India,IND,Vulnerable,1500000
141,Tamzabit,Algeria,DZA,Vulnerable,1500000
142,Sherpa,China;India;Nepal,CHN;IND;NPL,Vulnerable,1436930
143,Tangkhul,India,IND,Vulnerable,1420000
144,Badaga,India,IND,Definitely endangered,1345140
145,Angami,India,IND,Vulnerable,1320000
146,Laz,Georgia;Turkey,GEO;TUR,Definitely endangered,1300000
147,Tabasaran,Russian Federation,RUS,Vulnerable,1283910
148,Chambeali,India,IND,Definitely endangered,1265890
149,Abkhaz,Georgia;Russian Federation;Turkey,GEO;RUS;TUR,Vulnerable,1250000
150,Phom,India,IND,Vulnerable,1230000
151,Kolami,India,IND,Definitely endangered,1218550
152,Navajo,United States of America,USA,Vulnerable,1200000
153,Sassarese,Italy,ITA,Definitely endangered,1200000
154,Tamahaq (Algeria),Algeria,DZA,Vulnerable,1200000
155,Konda,India,IND,Definitely endangered,1185970
156,Sierra Totonac,Mexico,MEX,Severely endangered,1183670
157,Jaunsari,India,IND,Definitely endangered,1147330
158,Dimasa,India,IND,Vulnerable,1120000
159,Ladakhi,China;India,CHN;IND,Vulnerable,1050000
160,Salar,China,CHN,Vulnerable,1045030
161,Simi,India,IND,Vulnerable,1040000
162,Phurhepecha,Mexico,MEX,Vulnerable,1029880
163,Crimean Tatar (Crimea),Ukraine,UKR,Severely endangered,1000000
164,Dagur (Nonni),China,CHN,Definitely endangered,1000000
165,Francoprovençal,France;Italy;Switzerland,FRA;ITA;CHE,Definitely endangered,1000000
166,Gallurese,Italy,ITA,Definitely endangered,1000000
167,Mapuche (Argentina),Argentina,ARG,Severely endangered,1000000
168,Mehri,Oman;Yemen,OMN;YEM,Definitely endangered,1000000
169,Ordos,China,CHN,Definitely endangered,1000000
170,Quechua of Northern Bolivia,Bolivia (Plurinational State of),BOL,Vulnerable,1000000
171,Suba,Kenya;United Republic of Tanzania,KEN;TZA,Vulnerable,1000000
172,Garífuna (Honduras),Honduras,HND,Vulnerable,980000
173,Embera (Colombia),Colombia,COL,Vulnerable,950000
174,Kabui,India,IND,Vulnerable,950000
175,Shughni,Tajikistan;Afghanistan,TJK;AFG,Vulnerable,950000
176,Permyak,Russian Federation,RUS,Definitely endangered,943280
177,Poqomchi',Guatemala,GTM,Vulnerable,929410
178,Yimchungru,India,IND,Vulnerable,920000
179,Nogay (Caucasus),Russian Federation,RUS,Definitely endangered,900200
180,Heiban,Sudan,SDN,Vulnerable,900000
181,Quichua (Cañar and Azuay),Ecuador,ECU,Severely endangered,900000
182,Mezquital Otomí,Mexico,MEX,Definitely endangered,887890
183,Burushaski,Pakistan,PAK,Vulnerable,870000
184,Chokri,India,IND,Vulnerable,840000
185,Sangtam,India,IND,Vulnerable,840000
186,Achi',Guatemala,GTM,Vulnerable,826400
187,Yem,Ethiopia,ETH,Vulnerable,816130
188,Mao,India,IND,Vulnerable,810000
189,Arbëresh,Italy,ITA,Definitely endangered,800000
190,Lari,Iran (Islamic Republic of),IRN,Definitely endangered,800000
191,Páez,Colombia,COL,Definitely endangered,800000
192,Quechua of Santiago del Estero,Argentina,ARG,Definitely endangered,800000
193,Svan,Georgia,GEO,Definitely endangered,800000
194,Tai Daeng,Lao People's Democratic Republic;Viet Nam,LAO;VNM,Vulnerable,800000
195,Taznatit,Algeria,DZA,Severely endangered,800000
196,Wakhi,China;Pakistan;Tajikistan;Afghanistan,CHN;PAK;TJK;AFG,Definitely endangered,750000
197,Bishnupriya Manipuri Creole,Bangladesh;India,BGD;IND,Vulnerable,728990
198,Acheron,Sudan,SDN,Severely endangered,700000
199,Maori,New Zealand,NZL,Vulnerable,700000
200,Tai Neua,Lao People's Democratic Republic,LAO,Vulnerable,700000
201,Bhadravahi,India;Pakistan,IND;PAK,Definitely endangered,669180
202,Kinnauri,India,IND,Definitely endangered,650970
203,Gallo-Sicilian,Italy,ITA,Definitely endangered,650000
204,Kurux (Bangladesh),Bangladesh,BGD,Vulnerable,650000
205,Tz'utujil,Guatemala,GTM,Definitely endangered,632370
206,Chamorro,Guam (U.S.A.),GUM,Vulnerable,625000
207,Ashaninka (Peru),Peru,PER,Vulnerable,624680
208,Chang,India,IND,Vulnerable,620000
209,Kuna (Panama),Panama,PAN,Vulnerable,617030
210,Churahi,India,IND,Definitely endangered,611990
211,Nruanghmei,India,IND,Vulnerable,610000
212,Rengma,India,IND,Vulnerable,610000
213,Faroese,Faroe Islands,FRO,Vulnerable,600000
214,Northern Tujia,China,CHN,Severely endangered,600000
215,Torwali,Pakistan,PAK,Definitely endangered,600000
216,Chuj (Guatemala),Guatemala,GTM,Vulnerable,590480
217,Kachari,India,IND,Definitely endangered,590000
218,Scottish Gaelic,United Kingdom of Great Britain and Northern Ireland,GBR,Definitely endangered,585520
219,Kashubian,Poland,POL,Severely endangered,530000
220,Khakas,Russian Federation,RUS,Definitely endangered,522170
221,Parji,India,IND,Critically endangered,512160
222,Arvanitika,Greece,GRC,Severely endangered,500000
223,Buryat (Cis-Baikal),Russian Federation,RUS,Severely endangered,500000
224,Buryat (Manchuria),China;Mongolia,CHN;MNG,Definitely endangered,500000
225,Cuona Menba,Bhutan;China;India,BTN;CHN;IND,Vulnerable,500000
226,Eastern Cham,Viet Nam,VNM,Definitely endangered,500000
227,Hmar,India,IND,Vulnerable,500000
228,Huzhu Monguor,China,CHN,Severely endangered,500000
229,Paite,India,IND,Vulnerable,500000
230,Quichua (Imbabura),Ecuador,ECU,Definitely endangered,500000
231,Soqotri,Yemen,YEM,Severely endangered,500000
232,Southern Altay,Russian Federation,RUS,Definitely endangered,500000
233,Turoyo,Syrian Arab Republic;Turkey,SYR;TUR,Severely endangered,500000
234,Võro-Seto,Estonia;Russian Federation,EST;RUS,Definitely endangered,500000
235,West Greenlandic,Greenland (Kingdom of Denmark),GRL,Vulnerable,500000
236,Western Armenian (Turkey),Turkey,TUR,Definitely endangered,500000
237,Zaramo,United Republic of Tanzania,TZA,Definitely endangered,500000
238,Papantla Totonac,Mexico,MEX,Definitely endangered,497480
239,Wancho,India,IND,Vulnerable,490000
240,Bhumji,India,IND,Vulnerable,470000
241,Cosung (China),China,CHN,Definitely endangered,470000
242,Cosung (Viet Nam),Viet Nam,VNM,Definitely endangered,470000
243,Baheng (China),China,CHN,Vulnerable,450000
244,Lumun,Sudan,SDN,Definitely endangered,450000
245,Quichua (Loja),Ecuador,ECU,Severely endangered,450000
246,Chamling,Nepal,NPL,Definitely endangered,440930
247,Irish,Ireland;United Kingdom of Great Britain and Northern Ireland,IRL;GBR,Definitely endangered,440000
248,Reshe,Nigeria,NGA,Vulnerable,440000
249,Sierra Otomí,Mexico,MEX,Vulnerable,434680
250,Phuthi,Lesotho,LSO,Definitely endangered,430000
251,Rarotongan,Cook Islands,COK,Vulnerable,430000
252,Khalaj,Iran (Islamic Republic of),IRN,Vulnerable,421000
253,Dungan,Kazakhstan;Kyrgyzstan,KAZ;KGZ,Definitely endangered,410000
254,Kheza,India,IND,Vulnerable,410000
255,Jola-Kassa,Senegal,SEN,Vulnerable,408500
256,Satār,Nepal,NPL,Vulnerable,402600
257,Guaraní Boliviano,Argentina;Bolivia (Plurinational State of),ARG;BOL,Vulnerable,400000
258,Gutob,India,IND,Vulnerable,400000
259,Kheng,Bhutan,BTN,Vulnerable,400000
260,Laro,Sudan,SDN,Definitely endangered,400000
261,Minyong,India,IND,Vulnerable,400000
262,Mru,Myanmar,MMR,Severely endangered,400000
263,Quechua of Cajatambo;Pasco and northern Junín,Peru,PER,Severely endangered,400000
264,Quichua (Napo),Ecuador,ECU,Definitely endangered,400000
265,Tangsa,India,IND,Vulnerable,400000
266,Awajun,Peru,PER,Vulnerable,390000
267,Khiamngan,India,IND,Vulnerable,380000
268,Ngile,Sudan,SDN,Severely endangered,380000
269,Phunoi,Lao People's Democratic Republic,LAO,Vulnerable,373110
270,Maram,India,IND,Vulnerable,370000
271,Western Mari,Russian Federation,RUS,Severely endangered,368220
272,Chepang,Nepal,NPL,Vulnerable,368070
273,Chontal Tabasco,Mexico,MEX,Severely endangered,365140
274,Muji,China,CHN,Definitely endangered,365000
275,Akatek (Guatemala),Guatemala,GTM,Vulnerable,357630
276,Huichol,Mexico,MEX,Vulnerable,357240
277,Romansh,Switzerland,CHE,Definitely endangered,350950
278,Apatani,India,IND,Vulnerable,350000
279,Galo,India,IND,Vulnerable,350000
280,Korwa,India,IND,Vulnerable,350000
281,Shuar chicham,Ecuador,ECU,Definitely endangered,350000
282,Ticuna,Brazil;Colombia;Peru,BRA;COL;PER,Definitely endangered,350000
283,Wanka Quechua,Peru,PER,Severely endangered,350000
284,Sikuani,Colombia;Venezuela (Bolivarian Republic of),COL;VEN,Vulnerable,346140
285,Jakaltek (Guatemala),Guatemala,GTM,Definitely endangered,340380
286,Liangmai,India,IND,Vulnerable,340000
287,Zeme,India,IND,Vulnerable,340000
288,Highland Mazatec,Mexico,MEX,Vulnerable,338590
289,Thangmi,Nepal,NPL,Definitely endangered,335000
290,Nocte,India,IND,Vulnerable,330000
291,Mayo,Mexico,MEX,Critically endangered,328690
292,Lauje,Indonesia,IDN,Vulnerable,320000
293,Danuwar,Nepal,NPL,Severely endangered,318490
294,Sirmaudi,India,IND,Critically endangered,311440
295,Abaza,Russian Federation;Turkey,RUS;TUR,Definitely endangered,310000
296,Koch,India,IND,Definitely endangered,310000
297,Amis,China,CHN,Vulnerable,300000
298,Biak,Indonesia,IDN,Vulnerable,300000
299,Bumthang,Bhutan,BTN,Vulnerable,300000
300,Burgenland Croatian,Austria;Hungary;Slovakia,AUT;HUN;SVK,Definitely endangered,300000
301,Dzhidi,Iran (Islamic Republic of),IRN,Definitely endangered,300000
302,Judeo-Berber (Israel),Israel,ISR,Severely endangered,300000
303,Kham,Nepal,NPL,Definitely endangered,300000
304,Ladin,Italy,ITA,Definitely endangered,300000
305,Lepcha,Bhutan;India;Nepal,BTN;IND;NPL,Definitely endangered,300000
306,Maonan,China,CHN,Vulnerable,300000
307,Mok (Myanmar;Thailand),Myanmar;Thailand,MMR;THA,Definitely endangered,300000
308,Moro,Sudan,SDN,Definitely endangered,300000
309,Mulam,China,CHN,Vulnerable,300000
310,North Saami,Finland;Norway;Russian Federation;Sweden,FIN;NOR;RUS;SWE,Definitely endangered,300000
311,Quechua of Cajamarca,Peru,PER,Severely endangered,300000
312,Quichua (Pastaza),Ecuador,ECU,Definitely endangered,300000
313,Rushani,Tajikistan;Afghanistan,TJK;AFG,Definitely endangered,300000
314,Tialo,Indonesia,IDN,Vulnerable,300000
315,Tidikelt,Algeria,DZA,Critically endangered,300000
316,Toba,Argentina,ARG,Definitely endangered,300000
317,Tundra Nenets,Russian Federation,RUS,Definitely endangered,300000
318,Wuse,China,CHN,Vulnerable,300000
319,Agul,Russian Federation,RUS,Definitely endangered,293990
320,Rutul,Azerbaijan;Russian Federation,AZE;RUS,Definitely endangered,293830
321,Bateri,Pakistan,PAK,Definitely endangered,290000
322,Mzieme,India,IND,Vulnerable,290000
323,Ghale,Nepal,NPL,Vulnerable,289890
324,Sierra Popoluca,Mexico,MEX,Vulnerable,287000
325,Kurux (Nepal),Nepal,NPL,Vulnerable,286150
326,Deori,India,IND,Definitely endangered,280000
327,Soyaltepec Mazatec,Mexico,MEX,Vulnerable,275240
328,Sibe,China,CHN,Severely endangered,270000
329,Isthmus Náhuatl,Mexico,MEX,Vulnerable,266320
330,Sunwar,Nepal,NPL,Vulnerable,266110
331,Mancagne,Senegal,SEN,Vulnerable,264500
332,Gadaba,India,IND,Critically endangered,262620
333,Banat Bulgarian,Romania;Serbia,ROU;SRB,Definitely endangered,250000
334,Csángó Hungarian,Romania,ROU,Severely endangered,250000
335,Koda,India,IND,Vulnerable,250000
336,Minhe Monguor,China,CHN,Definitely endangered,250000
337,Olonetsian,Finland;Russian Federation,FIN;RUS,Definitely endangered,250000
338,Saek,Lao People's Democratic Republic;Thailand,LAO;THA,Definitely endangered,250000
339,Sioux,United States of America,USA,Vulnerable,250000
340,Tamazight (Beni Iznassen),Morocco,MAR,Definitely endangered,250000
341,Tsakhur,Azerbaijan;Russian Federation,AZE;RUS,Definitely endangered,250000
342,Warao,Guyana;Venezuela (Bolivarian Republic of),GUY;VEN,Definitely endangered,250000
343,Majhi,Nepal,NPL,Severely endangered,246640
344,Jone,China,CHN,Definitely endangered,240000
345,Andi,Russian Federation,RUS,Definitely endangered,237290
346,Guambiano,Colombia,COL,Definitely endangered,234620
347,Anal,India,IND,Vulnerable,230000
348,Hawrami,Iran (Islamic Republic of);Iraq,IRN;IRQ,Definitely endangered,230000
349,Juang,India,IND,Definitely endangered,230000
350,Tiwa,India,IND,Definitely endangered,230000
351,Embera (Panama),Panama,PAN,Vulnerable,224850
352,Ediamat,Guinea-Bissau,GNB,Vulnerable,220250
353,Mara,India,IND,Definitely endangered,220000
354,Maring,India,IND,Vulnerable,220000
355,Polci cluster,Nigeria,NGA,Definitely endangered,220000
356,Sarikoli,China,CHN,Definitely endangered,220000
357,Krongo,Sudan,SDN,Definitely endangered,216880
358,Ashtiani,Iran (Islamic Republic of),IRN,Definitely endangered,210000
359,Khunsari,Iran (Islamic Republic of),IRN,Definitely endangered,210000
360,Semnani,Iran (Islamic Republic of),IRN,Definitely endangered,210000
361,Plains Cree,Canada,CAN,Vulnerable,209330
362,Aluo,China,CHN,Definitely endangered,200000
363,Bru,Thailand,THA,Definitely endangered,200000
364,Cho-ca-nga-ca-kha,Bhutan,BTN,Definitely endangered,200000
365,Crimean Tatar (Dobruja),Bulgaria;Romania,BGR;ROU,Severely endangered,200000
366,Dhimal,Nepal,NPL,Severely endangered,200000
367,Griko (Salento),Italy,ITA,Severely endangered,200000
368,Kaiowá Guarani,Brazil,BRA,Vulnerable,200000
369,Karelian (Karelia),Finland;Russian Federation,FIN;RUS,Definitely endangered,200000
370,Khoirao,India,IND,Vulnerable,200000
371,Manchad,India,IND,Vulnerable,200000
372,Mariupolitan Greek,Ukraine,UKR,Severely endangered,200000
373,Pemon (Venezuela),Guyana;Venezuela (Bolivarian Republic of),GUY;VEN,Vulnerable,200000
374,Tacenwit,Algeria,DZA,Vulnerable,200000
375,Western Neo-Aramaic,Syrian Arab Republic,SYR,Definitely endangered,200000
376,Yaghnobi,Tajikistan,TJK,Definitely endangered,200000
377,Yeyi,Botswana,BWA,Definitely endangered,200000
378,Boro,,,Definitely endangered,198780
379,Sorbian,Germany,DEU,Definitely endangered,195000
380,Biete,India,IND,Definitely endangered,190000
381,Hrangkhol,India,IND,Vulnerable,190000
382,Terena,Brazil,BRA,Severely endangered,190000
383,Kati,Pakistan;Afghanistan,PAK;AFG,Definitely endangered,187000
384,Kulung,Nepal,NPL,Vulnerable,186860
385,Kaingang,Brazil,BRA,Definitely endangered,185000
386,Lowland Mazatec,Mexico,MEX,Vulnerable,183890
387,Vafsi,Iran (Islamic Republic of),IRN,Definitely endangered,180000
388,Bassari,Senegal,SEN,Vulnerable,179100
389,Bayot,Senegal,SEN,Vulnerable,171500
390,Pochuri,India,IND,Vulnerable,170000
391,Tamahaq (Libya),Libyan Arab Jamahiriya,LBY,Definitely endangered,170000
392,Swampy Cree,Canada,CAN,Vulnerable,166850
393,Koraga,India,IND,Critically endangered,166650
394,Oyda,Ethiopia,ETH,Vulnerable,165970
395,Pangvali,India,IND,Critically endangered,162850
396,Shipibo-Conibo,Peru,PER,Definitely endangered,160850
397,Amba,Uganda,UGA,Vulnerable,160000
398,Tsez,Russian Federation,RUS,Definitely endangered,153560
399,Bonan,China,CHN,Definitely endangered,150000
400,Chrau,Viet Nam,VNM,Definitely endangered,150000
401,Dari,Iran (Islamic Republic of),IRN,Definitely endangered,150000
402,Dzala,Bhutan,BTN,Vulnerable,150000
403,Ersu,China,CHN,Definitely endangered,150000
404,Gangte,India,IND,Definitely endangered,150000
405,Gurdu-Mbaaru,Nigeria,NGA,Severely endangered,150000
406,Ha-lung Tibetan,Nepal,NPL,Definitely endangered,150000
407,Hlersu,China,CHN,Vulnerable,150000
408,Kwama,Ethiopia,ETH,Vulnerable,150000
409,Lavua,Thailand,THA,Definitely endangered,150000
410,Macushi (Brazil),Brazil,BRA,Vulnerable,150000
411,Nahali,India,IND,Definitely endangered,150000
412,Naluo,China,CHN,Vulnerable,150000
413,O'odham (Akimel),United States of America,USA,Definitely endangered,150000
414,O'odham (Tohono),United States of America,USA,Definitely endangered,150000
415,Paiwan,China,CHN,Vulnerable,150000
416,Rao,China,CHN,Definitely endangered,150000
417,Semai,Malaysia,MYS,Severely endangered,150000
418,Shatt,Sudan,SDN,Severely endangered,150000
419,Siwi,Egypt,EGY,Definitely endangered,150000
420,Tagargrent,Algeria,DZA,Severely endangered,150000
421,Totoli,Indonesia,IDN,Vulnerable,150000
422,Aruaco,Colombia,COL,Vulnerable,147990
423,Yakkha,Nepal,NPL,Critically endangered,146480
424,Kuruba,India,IND,Critically endangered,146130
425,Tuamotuan,French Polynesia (France),PYF,Definitely endangered,144000
426,Katla,Sudan,SDN,Definitely endangered,142080
427,Garífuna (Belize),Belize,BLZ,Vulnerable,140610
428,Thulung,Nepal,NPL,Definitely endangered,140340
429,Bawm,Bangladesh;India,BGD;IND,Definitely endangered,140000
430,Guajajara,Brazil,BRA,Vulnerable,140000
431,Niuean,Niue,NIU,Definitely endangered,140000
432,Uhunduni,Indonesia,IDN,Vulnerable,140000
433,Gusilay,Senegal,SEN,Vulnerable,139500
434,Xavante,Brazil,BRA,Vulnerable,133030
435,Dondo,Indonesia,IDN,Vulnerable,130000
